frame_id,ped_id,x,y,z,vx,vy,heading
0,0,9.8663,2.9938,0.0,-1.1008,-0.1136,3.2444
0,1,-5.5008,-3.1982,0.0,0.1577,1.2015,1.4403
0,2,-8.5535,2.6043,0.0,0.7995,-0.5319,5.6961
0,3,-8.5731,-5.1988,0.0,0.2917,1.2343,1.3387
0,4,8.7186,1.3841,0.0,0.2508,-1.1027,4.9361
0,5,-6.2244,-8.0444,0.0,-0.9768,0.5096,2.6608
0,6,4.622,3.496,0.0,1.2149,0.8608,0.6164
0,7,-3.202,7.2636,0.0,0.3583,0.9058,1.1941
0,8,-1.5336,-4.4442,0.0,0.8632,-0.453,5.7999
0,9,7.2548,1.0066,0.0,0.8354,0.0018,6.2854
0,10,9.4033,8.5675,0.0,0.7001,1.2056,1.0447
0,11,-5.7456,-1.9601,0.0,-0.615,0.5737,2.3909
0,12,-4.7291,5.6985,0.0,-0.9949,0.5111,2.667
0,13,9.9331,1.1512,0.0,0.7381,1.0737,0.9686
0,14,9.3733,1.5443,0.0,-0.0254,-1.1793,4.6908
0,15,1.7088,0.0961,0.0,0.7566,1.1742,0.9984
0,16,-8.4163,-6.3196,0.0,-0.5566,-1.0817,4.2372
0,17,-7.6291,7.7875,0.0,-0.8046,-0.546,3.7379
0,18,-1.58,1.6577,0.0,1.0664,-0.4713,5.867
0,19,4.3067,-5.2579,0.0,-0.5126,-0.9472,4.2164
0,20,-3.7039,5.0444,0.0,-0.8239,0.2122,2.8895
0,21,9.9186,-8.5033,0.0,-0.0987,0.9441,1.675
0,22,7.6364,7.6151,0.0,0.5739,0.8896,0.9978
0,23,4.0422,2.1929,0.0,-0.8581,-1.2194,4.0992
0,24,6.381,-4.0285,0.0,1.1689,-0.4819,5.8922
0,25,-7.697,-7.8201,0.0,-0.1686,1.1752,1.7133
0,26,4.3486,-5.8867,0.0,-0.1089,1.2392,1.6584
0,27,8.0812,6.9355,0.0,-0.765,0.4028,2.6569
0,28,-9.9324,5.4638,0.0,-0.0995,1.242,1.6507
0,29,1.0575,-1.4338,0.0,0.7154,0.3729,0.4804
1,0,9.8296,2.9903,0.0,-1.1017,-0.1053,3.2369
1,1,-5.4953,-3.1582,0.0,0.1645,1.2006,1.4347
1,2,-8.5267,2.5868,0.0,0.8033,-0.5261,5.7033
1,3,-8.5631,-5.1577,0.0,0.3008,1.2321,1.3314
1,4,8.7272,1.3474,0.0,0.2576,-1.1011,4.9422
1,5,-6.2569,-8.0274,0.0,-0.9765,0.5102,2.6601
1,6,4.6626,3.5246,0.0,1.2166,0.8584,0.6145
1,7,-3.19,7.2938,0.0,0.3592,0.9054,1.1931
