frame_id,ped_id,x,y,z,vx,vy,heading
0,0,8.0383,0.8892,0.0,-1.2071,-0.6774,3.653
0,1,-7.4371,-3.8804,0.0,0.4183,-1.3667,5.0094
0,2,8.0043,-5.7788,0.0,0.775,0.591,0.6515
0,3,7.7056,-1.8383,0.0,0.6879,1.025,0.9797
0,4,7.3253,9.4929,0.0,0.9963,-0.9367,5.5286
0,5,4.7472,-3.402,0.0,0.4779,-1.3706,5.0479
0,6,6.2498,-4.6353,0.0,1.045,0.8565,0.6866
0,7,7.1276,-5.5399,0.0,-1.3278,0.3437,2.8883
0,8,5.9165,-5.4226,0.0,0.2882,0.764,1.21
0,9,7.2661,9.3121,0.0,-0.6289,-0.7716,4.0285
0,10,9.6591,0.7569,0.0,1.0821,0.9764,0.7341
0,11,-6.4031,9.2713,0.0,0.7667,0.6197,0.6798
0,12,4.5302,-3.7293,0.0,-1.2214,-0.085,3.2111
0,13,1.575,-4.9047,0.0,1.2959,0.0248,0.0191
0,14,0.7479,4.35,0.0,-0.6342,-1.157,4.211
0,15,-8.6142,3.3163,0.0,-0.4097,0.9463,1.9794
0,16,4.3667,-3.9751,0.0,-0.8516,0.555,2.5641
0,17,-4.0529,-7.4675,0.0,1.0198,-0.3969,5.912
0,18,8.0238,2.3006,0.0,-0.9681,-0.2902,3.4328
0,19,-4.2844,-1.4354,0.0,-0.6804,-0.9957,4.1129
0,20,-1.126,-5.7477,0.0,0.924,-0.6527,5.6682
0,21,-6.6322,-8.3327,0.0,-0.7817,-0.8582,3.9736
0,22,6.3754,5.0646,0.0,0.2092,1.2536,1.4054
0,23,-9.4896,-5.1339,0.0,0.6564,-0.923,5.3305
0,24,-1.7215,2.5659,0.0,-0.3097,-0.8834,4.3752
0,25,-5.12,3.0944,0.0,0.0092,-0.8038,4.7238
0,26,-7.8385,-1.5051,0.0,0.8912,-0.2407,6.0194
0,27,-9.0404,-5.0038,0.0,-1.3443,0.3685,2.8741
0,28,3.3902,9.7456,0.0,1.1603,-0.3667,5.9771
0,29,2.2717,4.3519,0.0,0.5602,-1.0082,5.2196
1,0,7.9979,0.8669,0.0,-1.2119,-0.6689,3.6459
1,1,-7.4229,-3.9258,0.0,0.4281,-1.3637,5.0166
1,2,8.0301,-5.7589,0.0,0.7717,0.5953,0.6571
1,3,7.7283,-1.8039,0.0,0.6791,1.0309,0.9883
1,4,7.3582,9.4614,0.0,0.9874,-0.9462,5.5191
1,5,4.7635,-3.4475,0.0,0.4879,-1.3671,5.0552
1,6,6.2844,-4.6065,0.0,1.0386,0.8643,0.6941
1,7,7.0834,-5.5282,0.0,-1.3265,0.3489,2.8844
1,8,5.9262,-5.3972,0.0,0.2909,0.763,1.2066
1,9,7.2451,9.2864,0.0,-0.6304,-0.7703,4.0265
1,10,9.6948,0.7897,0.0,1.0728,0.9865,0.7435
1,11,-6.3775,9.292,0.0,0.7675,0.6187,0.6785
1,12,4.4895,-3.732,0.0,-1.2216,-0.0822,3.2088
1,13,1.6181,-4.9035,0.0,1.2957,0.0358,0.0276
1,14,0.7267,4.3115,0.0,-0.6373,-1.1552,4.2083
1,15,-8.6281,3.3477,0.0,-0.4162,0.9434,1.9863
1,16,4.3383,-3.9565,0.0,-0.8505,0.5566,2.5621
1,17,-4.0189,-7.4806,0.0,1.0212,-0.3933,5.9156
1,18,7.9915,2.2913,0.0,-0.971,-0.2805,3.4228
1,19,-4.3071,-1.4686,0.0,-0.6811,-0.9952,4.1122
1,20,-1.0951,-5.7693,0.0,0.9278,-0.6472,5.6741
1,21,-6.6584,-8.3612,0.0,-0.7845,-0.8556,3.9703
1,22,6.3827,5.1063,0.0,0.2167,1.2523,1.3994
1,23,-9.468,-5.1649,0.0,0.6484,-0.9286,5.322
1,24,-1.7318,2.5364,0.0,-0.3098,-0.8834,4.3751
1,25,-5.1196,3.0676,0.0,0.0136,-0.8038,4.7293
1,26,-7.8088,-1.5131,0.0,0.8913,-0.2403,6.0198
1,27,-9.0853,-4.9917,0.0,-1.3464,0.3604,2.8801
1,28,3.429,9.7337,0.0,1.1631,-0.3576,5.9849
1,29,2.2904,4.3183,0.0,0.5612,-1.0076,5.2205
